",stockTicker,action,date,firm,fromGrade,toGrade"
"138,FB,up,2014-10-31,Tigress Financial,,Buy"
"139,FB,main,2014-10-29,FBN Securities,,Outperform"
"140,FB,main,2014-10-29,Canaccord Genuity,,Buy"
"141,FB,main,2014-10-29,CRT Capital,,Buy"
"142,FB,main,2014-10-29,JMP Securities,,Market Outperform"
"143,FB,main,2014-10-29,JP Morgan,,Overweight"
"144,FB,main,2014-10-29,Stifel Nicolaus,,Buy"
"145,FB,main,2014-10-28,Canaccord Genuity,,Buy"
"146,FB,main,2014-10-28,JMP Securities,,Market Outperform"
"147,FB,main,2014-10-28,Stifel Nicolaus,,Buy"
"148,FB,init,2014-10-27,""Monness, Crespi, Hardt"",,Buy"
"149,FB,init,2014-10-20,Shanghai Securities,,Buy"
"150,FB,main,2014-10-14,Credit Suisse,,Outperform"
"151,FB,main,2014-10-13,PiperJaffray,,Market Outperform"
"152,FB,main,2014-10-13,JMP Securities,,Market Outperform"
"153,FB,main,2014-10-10,Susquehanna,,Positive"
"154,FB,main,2014-10-09,Nomura,,Buy"
"155,FB,down,2014-08-27,Janney Capital,,Neutral"
"156,FB,main,2014-07-24,Barclays,,Overweight"
"157,FB,main,2014-07-24,Canaccord Genuity,,Buy"
"158,FB,main,2014-07-24,CRT Capital,,Buy"
"159,FB,main,2014-07-24,Credit Suisse,,Outperform"
"160,FB,main,2014-07-24,Deutsche Bank,,Buy"
"161,FB,main,2014-07-24,Jefferies,,Buy"
"162,FB,main,2014-07-24,JMP Securities,,Market Outperform"
"163,FB,main,2014-07-24,JP Morgan,,Overweight"
"164,FB,main,2014-07-24,Macquarie,,Outperform"
"165,FB,main,2014-07-24,Nomura,,Buy"
"166,FB,main,2014-07-24,Raymond James,,Outperform"
"167,FB,main,2014-07-24,UBS,,Buy"
"168,FB,down,2014-07-09,Tigress Financial,,Neutral"
"169,FB,init,2014-06-26,Barclays,,Overweight"
"170,FB,up,2014-05-22,Evercore Partners,,Overweight"
"171,FB,main,2014-04-24,Bank of America,,Buy"
"172,FB,main,2014-04-24,Stifel Nicolaus,,Buy"
"173,FB,main,2014-04-24,Canaccord Genuity,,Buy"
"174,FB,main,2014-04-24,CRT Capital,,Buy"
"175,FB,main,2014-04-24,Credit Suisse,,Outperform"
"176,FB,main,2014-04-24,Deutsche Bank,,Buy"
"177,FB,main,2014-04-24,Jefferies,,Buy"
"178,FB,main,2014-04-24,JMP Securities,,Market Outperform"
"179,FB,up,2014-04-21,Credit Suisse,,Outperform"
"180,FB,up,2014-04-10,Pivotal Research,,Buy"
"181,FB,main,2014-04-10,Deutsche Bank,,Buy"
"182,FB,main,2014-04-09,Susquehanna,,Positive"
"183,FB,down,2014-03-17,Argus Capital,,Hold"
"184,FB,reit,2014-03-11,Citigroup,,Buy"
"185,FB,main,2014-03-10,UBS,,Buy"
"186,FB,main,2014-03-05,Stifel,,Buy"
"187,FB,main,2014-02-26,Cowen & Co.,,Outperform"
"188,FB,down,2014-02-20,Pivotal Research,,Hold"
"189,FB,down,2014-02-20,Evercore Partners,,Equal-weight"
"190,FB,main,2014-01-30,Credit Suisse,,Neutral"
"191,FB,main,2014-01-30,Morgan Stanley,,Overweight"
"192,FB,main,2014-01-30,Bank of America,,Buy"
"193,FB,main,2014-01-30,Stifel Nicolaus,,Buy"
"194,FB,main,2014-01-30,CRT Capital,,Buy"
"195,FB,main,2014-01-30,Nomura,,Buy"
"196,FB,main,2014-01-21,Cowen & Co.,,Outperform"
"197,FB,main,2014-01-16,Raymond James,,Outperform"
"198,FB,init,2014-01-15,Nomura,,Buy"
"199,FB,init,2014-01-14,FBN Securities,,Outperform"
"200,FB,main,2014-01-13,JMP Securities,,Market Outperform"
"201,FB,main,2014-01-10,Stifel Nicolaus,,Buy"
"202,FB,main,2014-01-06,Morgan Stanley,,Overweight"
"203,FB,main,2014-01-06,SunTrust Robinson Humphrey,,Buy"
"204,FB,main,2013-12-23,Cantor Fitzgerald,,Buy"
"205,FB,up,2013-12-17,Susquehanna,,Positive"
"206,FB,main,2013-12-02,JP Morgan,,Overweight"
"207,FB,up,2013-11-27,S&P Capital IQ,,Buy"
"208,FB,init,2013-11-21,FBR Capital,,Outperform"
"209,FB,main,2013-11-05,Goldman Sachs,,Buy"
"210,FB,up,2013-11-01,Argus Capital,,Buy"
"211,FB,main,2013-11-01,Citigroup,,Buy"
"212,FB,down,2013-10-31,BMO Capital,,Market Perform"
"213,FB,main,2013-10-31,Stifel Nicolaus,,Buy"
"214,FB,main,2013-10-31,Deutsche Bank,,Buy"
"215,FB,main,2013-10-31,SunTrust Robinson Humphrey,,Buy"
"216,FB,main,2013-10-31,Credit Suisse,,Neutral"
"217,FB,up,2013-10-30,BTIG Research,,Buy"
"218,FB,main,2013-10-28,Credit Suisse,,Neutral"
"219,FB,main,2013-10-15,Evercore Partners,,Overweight"
"220,FB,main,2013-10-07,PiperJaffray,,Overweight"
"221,FB,init,2013-10-07,Atlantic Equities,,Overweight"
"222,FB,down,2013-10-07,Raymond James,,Strong Buy"
"223,FB,main,2013-10-07,Topeka,,Buy"
"224,FB,main,2013-10-04,Sterne Agee,,Buy"
"225,FB,down,2013-10-03,Pivotal Research,,Hold"
"226,FB,main,2013-10-03,Macquarie,,Outperform"
"227,FB,main,2013-09-27,Deutsche Bank,,Buy"
"228,FB,main,2013-09-26,Jefferies,,Buy"
"229,FB,init,2013-09-25,Canaccord Genuity,,Buy"
"230,FB,main,2013-09-25,Oppenheimer,,Outperform"
"231,FB,up,2013-09-24,Citigroup,,Buy"
"232,FB,up,2013-09-20,Cowen & Co.,,Outperform"
"233,FB,init,2013-09-19,CRT Capital,,Buy"
"234,FB,main,2013-09-18,Wedbush,,Outperform"
"235,FB,main,2013-09-12,JP Morgan,,Overweight"
"236,FB,main,2013-09-12,JP Morgan,,Overweight"
"237,FB,main,2013-09-06,SunTrust Robinson Humphrey,,Buy"
"238,FB,main,2013-09-05,Pivotal Research,,Buy"
"239,FB,down,2013-09-05,Oracle Investment Research,,Hold"
"240,FB,main,2013-08-30,Stifel Nicolaus,,Buy"
"241,FB,init,2013-08-20,Janney Capital,,Buy"
"242,FB,main,2013-08-19,Evercore Partners,,Overweight"
"243,FB,main,2013-08-05,PiperJaffray,,Overweight"
"244,FB,down,2013-07-26,Argus Research,,Hold"
"245,FB,up,2013-07-25,BTIG Research,,Neutral"
"246,FB,up,2013-07-25,JMP Securities,,Outperform"
"247,FB,main,2013-07-25,Credit Suisse,,Neutral"
"248,FB,main,2013-07-25,CLSA,,Buy"
"249,FB,main,2013-07-25,Barclays,,Equal-Weight"
"250,FB,main,2013-07-25,UBS,,Buy"
"251,FB,up,2013-07-25,Evercore Partners,,Overweight"
"252,FB,main,2013-07-25,Pivotal Research,,Buy"
"253,FB,main,2013-07-25,Susquehanna,,Neutral"
"254,FB,main,2013-07-25,Cowen & Co.,,Market Perform"
"255,FB,main,2013-07-25,Oppenheimer,,Outperform"
"256,FB,main,2013-07-25,Stifel Nicolaus,,Buy"
"257,FB,main,2013-07-25,Macquarie,,Outperform"
"258,FB,main,2013-07-25,Raymond James,,Strong Buy"
"259,FB,main,2013-07-25,Wedbush,,Outperform"
"260,FB,main,2013-07-25,Needham,,Buy"
"261,FB,main,2013-07-25,Jefferies,,Buy"
"262,FB,main,2013-07-25,JP Morgan,,Overweight"
"263,FB,main,2013-07-25,RBC Capital,,Outperform"
"264,FB,main,2013-07-25,Goldman Sachs,,Buy"
"265,FB,main,2013-07-25,BMO Capital,,Outperform"
"266,FB,init,2013-07-16,SunTrust Robinson Humphrey,,Buy"
"267,FB,init,2013-07-10,Susquehanna,,Neutral"
"268,FB,up,2013-06-21,UBS,,Buy"
"269,FB,up,2013-06-10,Stifel Nicolaus,,Buy"
"270,FB,up,2013-05-30,Jefferies,,Buy"
"271,FB,up,2013-05-30,BMO Capital,,Outperform"
"272,FB,up,2013-04-26,Raymond James,,Strong Buy"
"273,FB,init,2013-04-05,Oracle Investment Research,,Strong Buy"
"274,FB,up,2013-04-05,Argus Capital,,Buy"
"275,FB,init,2013-04-03,Tigress Financial,,Buy"
"276,FB,init,2013-03-19,JMP Securities,,Market Perform"
"277,FB,main,2013-02-19,Global Equities Research,,Equal-Weight"
"278,FB,down,2013-02-12,BTIG Research,,Sell"
"279,FB,down,2013-02-11,Bernstein,,Market Perform"
"280,FB,down,2013-01-31,Citigroup,,Neutral"
"281,FB,down,2013-01-31,Jefferies,,Hold"
"282,FB,down,2013-01-31,BMO Capital,,Market Perform"
"283,FB,down,2013-01-31,Stifel,,Hold"
"284,FB,down,2013-01-31,Stifel Nicolaus,,Hold"
"285,FB,up,2013-01-31,Pivotal Research,,Buy"
"286,FB,main,2013-01-29,Credit Suisse,,Neutral"
"287,FB,up,2013-01-28,Raymond James,,Outperform"
"288,FB,main,2013-01-22,Topeka,,Buy"
"289,FB,main,2013-01-16,Goldman Sachs,,Buy"
"290,FB,up,2013-01-14,Deutsche Bank,,Buy"
"291,FB,main,2013-01-14,Oppenheimer,,Outperform"
"292,FB,down,2013-01-07,Pivotal Research,,Hold"
"293,FB,main,2013-01-02,JP Morgan,,Overweight"
"294,FB,main,2013-01-02,Morgan Stanley,,Overweight"
"295,FB,up,2012-12-31,BMO Capital,,Outperform"
"296,FB,main,2012-12-31,Stifel Nicolaus,,Buy"
"297,FB,main,2012-12-19,Cantor Fitzgerald,,Buy"
"298,FB,main,2012-11-27,Nomura,,Buy"
"299,FB,up,2012-11-26,Bernstein,,Outperform"
"300,FB,up,2012-11-26,BTIG Research,,Neutral"
"301,FB,main,2012-11-26,Topeka,,Buy"
"302,FB,main,2012-11-19,PiperJaffray,,Overweight"
"303,FB,up,2012-10-26,Macquarie,,Outperform"
"304,FB,up,2012-10-24,Citigroup,,Buy"
"305,FB,up,2012-10-24,Bank of America,,Buy"
"306,FB,main,2012-10-24,Jefferies,,Buy"
"307,FB,main,2012-10-24,Deutsche Bank,,Hold"
"308,FB,up,2012-10-24,Stifel Nicolaus,,Buy"
"309,FB,main,2012-10-24,Goldman Sachs,,Buy"
"310,FB,main,2012-10-24,Barclays,,Equal-Weight"
"311,FB,main,2012-10-18,Sterne Agee,,Buy"
"312,FB,main,2012-10-16,Nomura,,Buy"
"313,FB,down,2012-10-08,BTIG Research,,Sell"
"314,FB,main,2012-10-05,JP Morgan,,Overweight"
"315,FB,main,2012-09-24,Goldman Sachs,,Buy"
"316,FB,main,2012-09-24,Pivotal Research,,Buy"
"317,FB,init,2012-09-21,Deutsche Bank,,Hold"
"318,FB,init,2012-09-21,Cantor Fitzgerald,,Buy"
"319,FB,main,2012-09-07,Barclays,,Equal-Weight"
"320,FB,main,2012-09-04,JP Morgan,,Overweight"
"321,FB,init,2012-09-04,Jefferies,,Buy"
"322,FB,main,2012-08-31,Bank of America,,Neutral"
"323,FB,up,2012-08-20,Capstone,,Buy"
"324,FB,main,2012-08-09,Ascendiant Capital,,Buy"
"325,FB,main,2012-08-01,Topeka,,Buy"
"326,FB,up,2012-07-31,Bernstein,,Market Perform"
"327,FB,main,2012-07-27,Wedbush,,Outperform"
"328,FB,main,2012-07-27,Sterne Agee,,Buy"
"329,FB,init,2012-06-29,Macquarie,,Neutral"
"330,FB,init,2012-06-27,JP Morgan,,Overweight"
"331,FB,init,2012-06-27,Oppenheimer,,Outperform"
"332,FB,init,2012-06-27,PiperJaffray,,Overweight"
"333,FB,init,2012-06-27,Goldman Sachs,,Buy"
"334,FB,init,2012-06-27,Morgan Stanley,,Overweight"
"335,FB,init,2012-06-27,Bank of America,,Neutral"
"336,FB,init,2012-06-27,Citigroup,,Neutral"
"337,FB,init,2012-06-27,RBC Capital,,Outperform"
"338,FB,init,2012-06-27,William Blair,,Outperform"
"339,FB,init,2012-06-27,Lazard,,Neutral"
"340,FB,init,2012-06-27,Barclays,,Equal-Weight"
"341,FB,init,2012-06-27,BMO Capital,,Underperform"
"342,FB,init,2012-06-27,Stifel Nicolaus,,Hold"
"343,FB,init,2012-06-27,Raymond James,,Market Perform"
"344,FB,init,2012-06-27,Cowen & Co.,,Neutral"
"345,FB,init,2012-06-27,Pacific Crest,,Sector Perform"
"346,FB,init,2012-06-27,Credit Suisse,,Neutral"
"347,FB,init,2012-06-22,Nomura,,Buy"
"348,FB,init,2012-06-21,Argus Research,,Hold"
"0,DAVE,up,2017-11-14,Craig-Hallum,Hold,Buy"
"1,DAVE,down,2015-06-22,Dougherty,,Neutral"
"2,DAVE,init,2015-02-25,Craig-Hallum,,Buy"
"3,DAVE,down,2015-02-20,Feltl & Co.,,Sell"
"4,DAVE,down,2013-07-10,B. Riley,,Neutral"
"0,FARM,init,2016-04-08,Sidoti & Co.,,Buy"
"1,FARM,init,2014-09-24,B. Riley,,Buy"
"0,FMAO,up,2014-03-05,Boenning & Scattergood,Neutral,Outperform"
"0,FFKT,down,2015-06-02,Raymond James,,Market Perform"
"1,FFKT,down,2015-06-01,Keefe Bruyette & Woods,,Market Perform"
"2,FFKT,init,2014-09-17,Raymond James,,Outperform"
"3,FFKT,up,2014-03-25,Keefe Bruyette & Woods,,Outperform"
"4,FFKT,up,2012-07-25,Sandler O'Neill,,Hold"
"0,FMNB,down,2017-10-27,Keefe Bruyette & Woods,Outperform,Market Perform"
"1,FMNB,init,2016-01-14,Raymond James,,Outperform"
"2,FMNB,init,2015-09-22,Keefe Bruyette & Woods,,Outperform"
"3,FMNB,init,2013-10-15,Sandler O'Neill,,Hold"
"0,FARO,main,2017-10-30,Canaccord Genuity,,Buy"
"1,FARO,main,2017-10-30,Stifel Nicolaus,,Hold"
"2,FARO,main,2017-08-03,Canaccord Genuity,,Buy"
"3,FARO,down,2017-08-03,Gabelli & Co.,Buy,Hold"
"4,FARO,init,2017-06-28,Craig-Hallum,,Buy"
"5,FARO,init,2016-05-11,FBR Capital,,Market Perform"
"6,FARO,up,2016-01-21,Stephens & Co.,,Overweight"
"7,FARO,up,2015-12-21,Needham,,Buy"
"8,FARO,up,2015-11-18,Canaccord Genuity,,Buy"
"9,FARO,init,2015-11-11,FBR Capital,,Market Perform"
"10,FARO,down,2015-11-04,Oppenheimer,,Perform"
"11,FARO,main,2015-10-09,Canaccord Genuity,,Hold"
"12,FARO,up,2015-07-30,Noble Financial,,Hold"
"13,FARO,down,2015-04-30,Canaccord Genuity,,Hold"
"14,FARO,up,2015-04-21,,,Buy"
"15,FARO,main,2015-04-20,Baird,,Neutral"
"16,FARO,down,2015-04-20,Noble Financial,,Sell"
"17,FARO,down,2015-04-20,Needham,,Hold"
"18,FARO,down,2015-03-02,Stephens & Co.,,Equal-Weight"
"19,FARO,down,2015-01-07,Baird,,Neutral"
"20,FARO,init,2014-12-18,Oppenheimer,,Outperform"
"21,FARO,init,2014-08-19,Stephens & Co.,,Overweight"
"22,FARO,up,2014-06-05,Needham,,Buy"
"23,FARO,up,2014-05-01,Baird,,Outperform"
"24,FARO,up,2014-05-01,Gabelli & Co.,,Buy"
"25,FARO,down,2013-11-12,Stifel Nicolaus,,Hold"
"26,FARO,down,2013-10-02,Needham,,Hold"
"27,FARO,init,2013-05-31,Gabelli & Co.,,Hold"
"28,FARO,main,2013-01-14,Stifel Nicolaus,,Buy"
"29,FARO,down,2012-11-01,Noble Financial,,Sell"
"30,FARO,down,2012-08-01,Noble Financial,,Hold"
"31,FARO,up,2012-05-02,Noble Financial,,Buy"
"0,FAST,main,2017-10-02,Morgan Stanley,,Equal-Weight"
"1,FAST,init,2017-07-25,Northcoast Research,,Buy"
"2,FAST,up,2017-07-13,Raymond James,,Strong Buy"
"3,FAST,up,2017-07-12,Baird,,Outperform"
"4,FAST,main,2017-07-10,Morgan Stanley,,Equal-Weight"
"5,FAST,init,2017-06-02,JP Morgan,,Neutral"
"6,FAST,up,2017-06-02,Longbow Research,,Buy"
"7,FAST,up,2017-04-19,Credit Suisse,,Outperform"
"8,FAST,up,2017-04-18,Argus Research,,Buy"
"9,FAST,up,2017-01-12,Avondale Partners,,Market Outperform"
"10,FAST,up,2017-01-05,KeyBanc,,Overweight"
"11,FAST,up,2016-12-05,William Blair,,Outperform"
"12,FAST,init,2016-08-25,Macquarie,,Neutral"
"13,FAST,init,2016-08-25,Macquarie,,Neutral"
"14,FAST,init,2016-07-07,Morgan Stanley,,Equal-Weight"
"15,FAST,main,2016-04-14,Credit Suisse,,Neutral"
"16,FAST,main,2016-04-08,Barclays,,Underweight"
"17,FAST,main,2016-04-07,Avondale Partners,,Market Perform"
"18,FAST,init,2016-04-05,BMO Capital,,Market Perform"
"19,FAST,down,2016-04-01,Stifel Nicolaus,,Hold"
"20,FAST,init,2016-03-22,Sterne Agee CRT,,Neutral"
"21,FAST,main,2016-03-21,Avondale Partners,,Market Perform"
"22,FAST,main,2016-03-17,Stifel Nicolaus,,Buy"
"23,FAST,init,2016-03-08,Argus Research,,Buy"
"24,FAST,main,2016-01-19,Barclays,,Underweight"
"25,FAST,init,2016-01-05,Avondale Partners,,Market Perform"
"26,FAST,main,2015-10-14,Stifel Nicolaus,,Buy"
"27,FAST,main,2015-10-14,Credit Suisse,,Neutral"
"28,FAST,main,2015-10-05,Barclays,,Underweight"
"29,FAST,main,2015-08-27,Susquehanna,,Neutral"
"30,FAST,down,2015-08-24,Baird,,Neutral"
"31,FAST,init,2015-07-21,KeyBanc,,Sector Weight"
"32,FAST,main,2015-07-15,Susquehanna,,Neutral"
"33,FAST,main,2015-07-15,Stifel Nicolaus,,Buy"
"34,FAST,main,2015-07-13,Barclays,,Underweight"
"35,FAST,down,2015-04-07,Cleveland Research,,Neutral"
"36,FAST,down,2015-04-07,Northcoast Research,,Neutral"
"37,FAST,main,2015-03-17,Barclays,,Underweight"
"38,FAST,down,2015-03-04,Raymond James,,Market Perform"
"39,FAST,main,2015-01-20,Stifel Nicolaus,,Buy"
"40,FAST,main,2015-01-16,Barclays,,Underweight"
"41,FAST,init,2014-12-12,Stifel Nicolaus,,Buy"
"42,FAST,down,2014-10-14,Susquehanna,,Neutral"
"43,FAST,main,2014-10-13,Credit Suisse,,Neutral"
"44,FAST,up,2014-07-28,Edward Jones,,Buy"
"45,FAST,init,2014-04-04,Susquehanna,,Positive"
"46,FAST,up,2012-12-06,William Blair,,Outperform"
"47,FAST,up,2012-11-20,Edward Jones,,Buy"
"48,FAST,main,2012-10-12,Wunderlich,,Buy"
"49,FAST,main,2012-10-12,Barclays,,Underweight"
"50,FAST,main,2012-10-12,UBS,,Neutral"
"51,FAST,main,2012-07-02,UBS,,Neutral"
"52,FAST,main,2012-06-11,Wunderlich,,Buy"
"53,FAST,main,2012-05-30,UBS,,Neutral"
"54,FAST,init,2012-05-25,Wunderlich,,Buy"
"55,FAST,main,2012-03-06,UBS,,Neutral"
"0,FAT,init,2017-11-15,RF Lafferty,,Buy"
"0,FATE,init,2017-12-18,PiperJaffray,,Overweight"
"1,FATE,reit,2017-02-28,Wedbush,,Outperform"
"2,FATE,init,2016-09-22,Roth Capital,,Buy"
"3,FATE,init,2016-04-12,BMO Capital,,Outperform"
"4,FATE,init,2015-12-04,Wells Fargo,,Outperform"
"5,FATE,init,2015-10-06,Raymond James,,Outperform"
"6,FATE,init,2015-06-01,Leerink Swann,,Outperform"
"7,FATE,init,2013-10-28,Wedbush,,Outperform"
"0,FBSS,init,2008-03-26,Davenport,,Neutral"
"0,FNHC,down,2016-11-03,Janney Capital,,Neutral"
"1,FNHC,main,2016-08-08,Keefe Bruyette & Woods,,Outperform"
"2,FNHC,down,2016-03-08,Raymond James,,Outperform"
"3,FNHC,down,2015-12-21,William Blair,,Market Perform"
"4,FNHC,up,2015-10-12,Janney Capital,,Buy"
"5,FNHC,init,2015-05-19,JMP Securities,,Market Perform"
"6,FNHC,up,2015-05-04,Raymond James,,Strong Buy"
"7,FNHC,main,2015-03-02,Keefe Bruyette & Woods,,Outperform"
"8,FNHC,up,2015-01-06,Raymond James,,Outperform"
"9,FNHC,up,2014-11-19,""Keefe, Bruyette & Woods"",,Outperform"
"10,FNHC,down,2014-11-03,Raymond James,,Market Perform"
"11,FNHC,main,2014-11-03,Keefe Bruyette & Woods,,Market Perform"
"12,FNHC,init,2014-08-29,William Blair,,Outperform"
"13,FNHC,main,2014-06-16,Raymond James,,Outperform"
"14,FNHC,main,2014-05-05,Raymond James,,Outperform"
"15,FNHC,init,2013-12-02,Raymond James,,Outperform"
"0,GSM,main,2017-10-26,Stifel Nicolaus,,Buy"
"1,GSM,main,2017-08-18,Jefferies,,Buy"
"2,GSM,up,2016-09-19,Baird,,Buy"
"3,GSM,main,2016-08-29,Stifel Nicolaus,,Buy"
"4,GSM,main,2016-08-29,B. Riley,,Neutral"
"5,GSM,down,2016-08-25,B. Riley,,Neutral"
"6,GSM,up,2016-06-13,Jefferies,,Buy"
"7,GSM,main,2016-03-21,JP Morgan,,Overweight"
"8,GSM,main,2015-12-28,B. Riley,,Buy"
"9,GSM,main,2015-11-09,B. Riley,,Buy"
"10,GSM,main,2015-08-13,B. Riley,,Buy"
"11,GSM,main,2015-05-08,JP Morgan,,Overweight"
"12,GSM,up,2015-05-08,JP Morgan,,Overweight"
"13,GSM,main,2015-02-11,Jefferies,,Hold"
"14,GSM,main,2014-08-28,B. Riley,,Buy"
"15,GSM,up,2013-09-16,B. Riley,,Buy"
"16,GSM,up,2013-09-13,BB&T Capital,,Buy"
"17,GSM,up,2013-06-24,Sidoti & Co.,,Buy"
"18,GSM,main,2013-02-11,Jefferies,,Hold"
"19,GSM,init,2012-12-19,BB&T Capital,,Hold"
"20,GSM,main,2012-08-22,Jefferies,,Hold"
"21,GSM,main,2012-08-22,JP Morgan,,Neutral"
"22,GSM,main,2012-05-08,Jefferies,,Hold"
"23,GSM,main,2012-04-27,Oppenheimer,,Outperform"
"0,FCSC,init,2017-03-07,Rodman & Renshaw,,Buy"
"1,FCSC,init,2015-12-22,Roth Capital,,Buy"
"2,FCSC,down,2015-09-28,Wedbush,,Neutral"
"3,FCSC,init,2013-12-02,Wedbush,,Outperform"
"0,FGEN,init,2017-10-05,Mizuho,,Neutral"
"1,FGEN,down,2017-07-21,Goldman Sachs,Buy,Neutral"
"2,FGEN,init,2017-07-11,Jefferies,,Buy"
"3,FGEN,up,2016-02-11,Credit Suisse,,Outperform"
"4,FGEN,init,2016-01-20,Credit Suisse,,Neutral"
"5,FGEN,init,2015-12-04,Citigroup,,Buy"
"6,FGEN,init,2015-07-29,Citigroup,,Buy"
"7,FGEN,up,2015-07-20,Goldman Sachs,,Buy"
"8,FGEN,down,2015-01-09,Goldman Sachs,,Neutral"
"0,LION,up,2016-07-22,Keefe Bruyette & Woods,,Outperform"
"1,LION,init,2016-05-18,FBR Capital,,Market Perform"
"2,LION,main,2015-07-17,Keefe Bruyette & Woods,,Market Perform"
"3,LION,down,2015-04-17,Keefe Bruyette & Woods,,Market Perform"
"4,LION,up,2014-04-22,Keefe Bruyette & Woods,,Outperform"
"5,LION,up,2014-04-21,Keefe Bruyette & Woods,,Outperform"
"6,LION,down,2013-12-02,Keefe Bruyette & Woods,,Market Perform"
"7,LION,down,2013-08-07,Baird,,Neutral"
"8,LION,init,2013-07-02,Baird,,Outperform"
"9,LION,up,2013-06-17,Keefe Bruyette & Woods,,Outperform"
"0,FDUS,init,2017-01-10,Keefe Bruyette & Woods,,Market Perform"
"1,FDUS,down,2017-01-09,Baird,,Neutral"
"2,FDUS,init,2016-09-23,DA Davidson,,Buy"
"3,FDUS,init,2016-01-15,Janney Capital,,Neutral"
"4,FDUS,main,2015-03-10,Oppenheimer,,Outperform"
"5,FDUS,up,2014-12-10,Oppenheimer,,Outperform"
"6,FDUS,up,2014-03-28,Raymond James,,Strong Buy"
"7,FDUS,down,2014-03-10,Raymond James,,Outperform"
"8,FDUS,up,2013-12-16,Raymond James,,Strong Buy"
"9,FDUS,main,2013-03-11,Oppenheimer,,Outperform"
"10,FDUS,main,2012-08-03,Oppenheimer,,Outperform"
"0,FRGI,down,2017-09-07,PiperJaffray,Neutral,Underweight"
"1,FRGI,down,2017-05-09,Stephens & Co.,,Equal-Weight"
"2,FRGI,reit,2017-03-07,Wedbush,,Outperform"
"3,FRGI,down,2017-02-28,Raymond James,,Market Perform"
"4,FRGI,down,2016-08-29,PiperJaffray,,Neutral"
"5,FRGI,init,2016-08-22,Canaccord Genuity,,Hold"
"6,FRGI,main,2016-08-04,Jefferies,,Hold"
"7,FRGI,down,2016-07-26,Jefferies,,Hold"
"8,FRGI,down,2016-05-10,Sterne Agee CRT,,Neutral"
"9,FRGI,down,2016-05-10,Raymond James,,Outperform"
"10,FRGI,main,2016-02-25,Jefferies,,Buy"
"11,FRGI,up,2015-11-19,Raymond James,,Strong Buy"
"12,FRGI,main,2015-02-20,Jefferies,,Buy"
"13,FRGI,down,2015-02-20,Raymond James,,Outperform"
"14,FRGI,main,2015-01-06,Jefferies,,Buy"
"15,FRGI,init,2014-12-09,Sterne Agee,,Buy"
"16,FRGI,down,2014-11-06,Longbow Research,,Neutral"
"17,FRGI,init,2014-06-26,Longbow Research,,Buy"
"18,FRGI,up,2014-04-22,Raymond James,,Strong Buy"
"19,FRGI,down,2013-10-01,Raymond James,,Outperform"
"20,FRGI,init,2013-07-18,Wells Fargo,,Outperform"
"21,FRGI,init,2013-05-01,Raymond James,,Strong Buy"
"22,FRGI,init,2013-05-01,Stephens & Co.,,Overweight"
"23,FRGI,init,2013-05-01,Jefferies,,Buy"
"24,FRGI,init,2013-05-01,PiperJaffray,,Overweight"
"25,FRGI,main,2013-03-14,Wedbush,,Outperform"
"26,FRGI,init,2013-02-05,Wedbush,,Outperform"
"0,FITB,main,2017-12-13,Morgan Stanley,,Equal-Weight"
"1,FITB,down,2017-11-17,Macquarie,Neutral,Underperform"
"2,FITB,main,2017-10-26,Nomura,,Neutral"
"3,FITB,main,2017-10-25,Bank of America,,Neutral"
"4,FITB,main,2017-10-10,Citigroup,,Neutral"
"5,FITB,main,2017-10-09,Citigroup,,Neutral"
"6,FITB,main,2017-10-06,UBS,,Sell"
"7,FITB,down,2017-10-02,Baird,Neutral,Underperform"
"8,FITB,main,2017-09-28,Nomura,,Neutral"
"9,FITB,up,2017-06-05,Baird,,Neutral"
"10,FITB,up,2017-03-29,Compass Point,,Buy"
"11,FITB,up,2017-01-25,Hilliard Lyons,,Neutral"
"12,FITB,down,2017-01-25,Macquarie,,Neutral"
"13,FITB,down,2017-01-11,UBS,,Sell"
"14,FITB,main,2016-11-30,Deutsche Bank,,Hold"
"15,FITB,down,2016-11-18,Compass Point,,Neutral"
"16,FITB,down,2016-11-16,Baird,,Underperform"
"17,FITB,down,2016-11-16,Bernstein,,Market Perform"
"18,FITB,down,2016-10-10,Nomura,,Reduce"
"19,FITB,init,2016-10-07,Wedbush,,Neutral"
"20,FITB,down,2016-10-07,Jefferies,,Hold"
"21,FITB,down,2016-10-05,Stephens & Co.,,Equal-weight"
"22,FITB,down,2016-10-04,Keefe Bruyette & Woods,,Market Perform"
"23,FITB,main,2016-09-23,CLSA,,Outperform"
"24,FITB,main,2016-08-01,Citigroup,,Neutral"
"25,FITB,down,2016-07-06,Oppenheimer,,Perform"
"26,FITB,down,2016-07-05,Morgan Stanley,,Equal-Weight"
"27,FITB,down,2016-06-07,Susquehanna,,Neutral"
"28,FITB,main,2016-06-06,Citigroup,,Neutral"
"29,FITB,main,2016-05-27,Jefferies,,Buy"
"30,FITB,up,2016-05-16,Keefe Bruyette & Woods,,Outperform"
"31,FITB,down,2016-04-22,Hilliard Lyons,,Neutral"
"32,FITB,main,2016-04-07,JP Morgan,,Neutral"
"33,FITB,down,2016-04-06,Sterne Agee CRT,,Neutral"
"34,FITB,down,2016-04-05,BMO Capital,,Market Perform"
"35,FITB,down,2016-04-01,Evercore ISI Group,,Hold"
