",stockTicker,action,date,firm,fromGrade,toGrade"
"12,SHLM,init,2015-07-02,SunTrust Robinson Humphrey,,Neutral"
"13,SHLM,init,2015-06-04,Seaport Global,,"
"14,SHLM,up,2015-03-27,KeyBanc,,Overweight"
"15,SHLM,init,2015-01-26,First Analysis,,Overweight"
"16,SHLM,down,2013-07-25,Northcoast Research,,Neutral"
"17,SHLM,up,2013-05-01,Northcoast Research,,Buy"
"18,SHLM,up,2013-01-25,Gabelli & Co.,,Buy"
"19,SHLM,up,2012-10-26,Longbow Research,,Neutral"
"0,AAON,init,2016-10-13,Jefferies,,Buy"
"1,AAON,init,2015-02-02,DA Davidson,,Neutral"
"0,ABAX,main,2017-10-30,Canaccord Genuity,,Hold"
"1,ABAX,main,2017-10-25,Bank of America,,Underperform"
"2,ABAX,down,2016-07-22,Feltl & Co.,,Sell"
"3,ABAX,init,2016-04-01,CL King,,Neutral"
"4,ABAX,main,2016-04-01,Canaccord Genuity,,Hold"
"5,ABAX,init,2016-02-03,Credit Suisse,,Underperform"
"6,ABAX,main,2015-11-12,Canaccord Genuity,,Hold"
"7,ABAX,main,2015-10-29,Canaccord Genuity,,Hold"
"8,ABAX,down,2015-10-21,Bank of America,,Underperform"
"9,ABAX,down,2015-07-24,Canaccord Genuity,,Hold"
"10,ABAX,main,2015-07-23,Canaccord Genuity,,Buy"
"11,ABAX,main,2015-03-20,Canaccord Genuity,,Buy"
"12,ABAX,up,2014-09-15,Canaccord Genuity,,Buy"
"13,ABAX,main,2014-07-25,Canaccord Genuity,,Hold"
"14,ABAX,down,2014-02-28,Bank of America,,Underperform"
"15,ABAX,down,2014-01-30,Feltl & Co.,,Sell"
"16,ABAX,up,2013-11-04,Bank of America,,Neutral"
"17,ABAX,down,2013-07-26,Feltl & Co.,,Hold"
"18,ABAX,down,2013-07-22,Feltl & Co.,,Hold"
"19,ABAX,down,2013-04-22,Feltl & Co.,,Buy"
"20,ABAX,down,2013-04-12,Stifel Nicolaus,,Hold"
"21,ABAX,down,2013-02-25,Bank of America,,Underperform"
"22,ABAX,main,2013-02-01,Stifel Nicolaus,,Buy"
"23,ABAX,init,2012-11-08,Stifel Nicolaus,,Buy"
"24,ABAX,main,2012-10-01,PiperJaffray,,Neutral"
"25,ABAX,down,2012-09-25,Raymond James,,Market Perform"
"26,ABAX,main,2012-06-29,Feltl & Co.,,Buy"
"27,ABAX,main,2012-04-23,Feltl & Co.,,Buy"
"0,ABEO,init,2017-11-08,SunTrust Robinson Humphrey,,Buy"
"1,ABEO,main,2017-10-12,Cantor Fitzgerald,,Overweight"
"2,ABEO,init,2017-10-10,Citigroup,,Buy"
"3,ABEO,init,2017-09-15,RBC Capital,,Outperform"
"4,ABEO,init,2017-01-06,Jefferies,,Buy"
"5,ABEO,main,2016-09-29,Maxim Group,,Buy"
"6,ABEO,init,2016-09-08,Cantor Fitzgerald,,Buy"
"7,ABEO,init,2015-12-16,Maxim Group,,Buy"
"8,ABEO,init,2015-12-15,Maxim Group,,Buy"
"9,ABEO,init,2015-07-20,MLV & Co.,,Buy"
"0,ABIL,down,2017-04-17,FBR Capital,,Market Perform"
"1,ABIL,init,2016-01-11,FBR Capital,,Outperform"
"0,ABMD,down,2017-10-16,BTIG Research,Buy,Neutral"
"1,ABMD,init,2017-09-29,SunTrust Robinson Humphrey,,Buy"
"2,ABMD,main,2017-07-28,Leerink Swann,,Outperform"
"3,ABMD,main,2017-07-10,Morgan Stanley,,Equal-Weight"
"4,ABMD,up,2017-04-06,PiperJaffray,,Overweight"
"5,ABMD,init,2016-12-07,Guggenheim,,Buy"
"6,ABMD,main,2016-08-09,Jefferies,,Buy"
"7,ABMD,main,2016-07-29,Jefferies,,Buy"
"8,ABMD,main,2016-05-04,Leerink Swann,,Outperform"
"9,ABMD,up,2015-10-30,Raymond James,,Outperform"
"10,ABMD,init,2015-08-18,Sterne Agee CRT,,Buy"
"11,ABMD,main,2015-05-06,Leerink Swann,,Outperform"
"12,ABMD,main,2015-01-28,Jefferies,,Buy"
"13,ABMD,up,2015-01-28,Northland Securities,,Market Perform"
"14,ABMD,main,2015-01-05,Jefferies,,Buy"
"15,ABMD,down,2014-11-03,BTIG Research,,Neutral"
"16,ABMD,init,2014-03-24,Leerink Swann,,Outperform"
"17,ABMD,up,2014-03-21,BTIG Research,,Buy"
"18,ABMD,init,2014-02-20,BTIG Research,,Neutral"
"19,ABMD,main,2014-01-10,Wunderlich,,Buy"
"20,ABMD,main,2013-11-07,Jefferies,,Buy"
"21,ABMD,up,2013-10-08,Benchmark,,Buy"
"22,ABMD,init,2013-10-01,Benchmark,,Speculative Buy"
"23,ABMD,down,2013-04-09,PiperJaffray,,Neutral"
"24,ABMD,init,2013-03-14,William Blair,,Outperform"
"25,ABMD,main,2012-11-29,Wunderlich,,Buy"
"26,ABMD,init,2012-11-08,Raymond James,,Market Perform"
"27,ABMD,main,2012-11-01,Jefferies,,Buy"
"28,ABMD,init,2012-09-25,Sidoti & Co.,,Buy"
"29,ABMD,main,2012-05-17,Wunderlich,,Buy"
"30,ABMD,main,2012-05-17,PiperJaffray,,Overweight"
"31,ABMD,main,2012-04-23,Jefferies,,Buy"
"0,ABLX,init,2017-11-20,JP Morgan,,Overweight"
"1,ABLX,init,2017-11-20,Baird,,Outperform"
"2,ABLX,init,2017-11-20,Ladenburg Thalmann,,Buy"
"3,ABLX,init,2017-11-10,Bank of America,,Buy"
"0,AXAS,up,2017-08-11,Seaport Global,Neutral,Buy"
"1,AXAS,init,2017-07-24,Canaccord Genuity,Buy,Buy"
"2,AXAS,down,2017-06-21,Seaport Global,,Neutral"
"3,AXAS,up,2017-01-20,Stifel Nicolaus,,Buy"
"4,AXAS,init,2016-10-21,Rodman & Renshaw,,Buy"
"5,AXAS,init,2016-07-13,Ladenburg Thalmann,,Buy"
"6,AXAS,up,2016-04-18,Cowen & Co.,,Outperform"
"7,AXAS,main,2015-12-17,Imperial Capital,,In-Line"
"8,AXAS,main,2015-09-11,Imperial Capital,,In-Line"
"9,AXAS,main,2015-09-04,Euro Pacific Capital,,Buy"
"10,AXAS,init,2015-07-14,Cowen & Co.,,Market Perform"
"11,AXAS,init,2015-07-13,Cowen & Co.,,Market Perform"
"12,AXAS,init,2015-03-20,GMP Securities,,Buy"
"13,AXAS,main,2015-03-06,SunTrust Robinson Humphrey,,Buy"
"14,AXAS,up,2015-03-06,Canaccord Genuity,,Buy"
"15,AXAS,down,2015-01-16,Canaccord Genuity,,Hold"
"16,AXAS,down,2014-12-16,Baird,,Neutral"
"17,AXAS,main,2014-12-04,Imperial Capital,,In-Line"
"18,AXAS,down,2014-12-02,Seaport Global,,Neutral"
"19,AXAS,main,2014-11-05,Imperial Capital,,In-Line"
"20,AXAS,up,2014-10-27,Goldman Sachs,,Buy"
"21,AXAS,down,2014-10-27,Stifel Nicolaus,,Hold"
"22,AXAS,main,2014-07-02,Canaccord Genuity,,Buy"
"23,AXAS,up,2014-06-05,SunTrust Robinson Humphrey,,Buy"
"24,AXAS,main,2014-05-22,Imperial Capital,,In-Line"
"25,AXAS,up,2014-05-20,Canaccord Genuity,,Buy"
"26,AXAS,main,2014-05-09,Canaccord Genuity,,Hold"
"27,AXAS,init,2014-04-30,Imperial Capital,,In-Line"
"28,AXAS,down,2014-03-26,Canaccord Genuity,,Hold"
"29,AXAS,up,2014-03-13,Seaport Global,,Accumulate"
"30,AXAS,init,2013-04-10,Global Hunter Securities,,Neutral"
"31,AXAS,main,2012-11-30,C.K.Cooper & Co.,,Buy"
"32,AXAS,main,2012-11-27,C.K.Cooper & Co.,,Buy"
"33,AXAS,main,2012-08-10,CK Cooper,,Buy"
"34,AXAS,down,2012-08-10,Wunderlich,,Hold"
"35,AXAS,main,2012-03-16,CK Cooper,,Buy"
"0,ACIU,init,2016-10-18,Jefferies,,Buy"
"1,ACIU,init,2016-10-18,Credit Suisse,,Outperform"
"2,ACIU,init,2016-10-18,Leerink Swann,,Outperform"
"0,ACIA,up,2017-11-03,B. Riley,Neutral,Buy"
"1,ACIA,main,2017-10-05,MKM Partners,,Buy"
"2,ACIA,init,2017-09-19,MKM Partners,,Buy"
"3,ACIA,init,2017-06-23,DA Davidson,,Buy"
"4,ACIA,down,2017-05-11,Morgan Stanley,,Equal-Weight"
"5,ACIA,init,2017-04-05,B. Riley,,Neutral"
"6,ACIA,up,2017-02-02,Morgan Stanley,,Overweight"
"7,ACIA,init,2016-12-08,Morgan Stanley,,Equal-Weight"
"8,ACIA,init,2016-10-31,William Blair,,Outperform"
"9,ACIA,main,2016-09-09,Deutsche Bank,,Buy"
"10,ACIA,main,2016-07-14,Deutsche Bank,,Buy"
"11,ACIA,init,2016-06-07,Needham,,Buy"
"12,ACIA,init,2016-06-07,Cowen & Co.,,Outperform"
"13,ACIA,init,2016-06-07,Deutsche Bank,,Buy"
"14,ACIA,init,2016-06-07,Bank of America,,Buy"
"15,ACIA,init,2016-06-07,Goldman Sachs,,Neutral"
"0,ACTG,main,2016-07-29,Barclays,,Underweight"
"1,ACTG,down,2016-01-05,Barclays,,Underweight"
"2,ACTG,main,2015-02-20,JP Morgan,,Overweight"
"3,ACTG,main,2015-02-20,Barclays,,Equal-Weight"
"4,ACTG,main,2014-10-23,Barclays,,Equal-Weight"
"5,ACTG,main,2014-07-29,Barclays,,Equal-Weight"
"6,ACTG,main,2014-04-22,JP Morgan,,Overweight"
"7,ACTG,init,2014-04-21,Wedbush,,Outperform"
"8,ACTG,down,2013-10-17,Stephens & Co.,,Underweight"
"9,ACTG,init,2013-09-17,Standpoint Research,,Buy"
"10,ACTG,init,2012-12-10,Cowen & Co.,,Outperform"
"11,ACTG,main,2012-10-19,Barclays,,Equal-Weight"
"0,ACHC,down,2017-10-30,Mizuho,Buy,Neutral"
"1,ACHC,main,2017-10-26,BMO Capital,,Outperform"
"2,ACHC,down,2017-10-25,Baird,Outperform,Neutral"
"3,ACHC,main,2017-10-25,Bank of America,,Buy"
"4,ACHC,main,2017-10-25,Cantor Fitzgerald,,Neutral"
"5,ACHC,main,2017-10-25,Citigroup,,Buy"
"6,ACHC,init,2017-10-17,BMO Capital,,Outperform"
"7,ACHC,main,2017-07-31,UBS,,Buy"
"8,ACHC,main,2017-07-31,Deutsche Bank,,Buy"
"9,ACHC,init,2017-04-05,Deutsche Bank,,Buy"
"10,ACHC,down,2017-01-27,Cantor Fitzgerald,,Neutral"
"11,ACHC,init,2017-01-04,Citigroup,,Buy"
"12,ACHC,main,2016-09-15,Baird,,Outperform"
"13,ACHC,main,2016-02-17,Avondale Partners,,Market Outperform"
"14,ACHC,init,2016-02-01,KeyBanc,,Overweight"
"15,ACHC,init,2015-09-16,JP Morgan,,Neutral"
"16,ACHC,init,2015-09-01,Leerink Swann,,Outperform"
"17,ACHC,init,2015-06-19,Mizuho,,Buy"
"18,ACHC,main,2015-05-21,Susquehanna,,Positive"
"19,ACHC,main,2015-04-30,Deutsche Bank,,Buy"
"20,ACHC,main,2015-04-30,Cantor Fitzgerald,,Buy"
"21,ACHC,main,2015-04-30,Jefferies,,Buy"
"22,ACHC,up,2015-04-30,Wells Fargo,,Outperform"
"23,ACHC,main,2015-02-17,Citigroup,,Neutral"
"24,ACHC,up,2014-10-31,Deutsche Bank,,Buy"
"25,ACHC,main,2014-10-30,Jefferies,,Buy"
"26,ACHC,init,2014-10-22,UBS,,Buy"
"27,ACHC,main,2014-06-04,Raymond James,,Outperform"
"28,ACHC,main,2014-02-21,Bank of America,,Buy"
"29,ACHC,down,2014-01-07,Citigroup,,Neutral"
"30,ACHC,main,2013-12-16,Bank of America,,Buy"
"31,ACHC,init,2013-12-06,Wells Fargo,,Market Perform"
"32,ACHC,main,2013-10-31,BMO Capital,,Outperform"
"33,ACHC,main,2013-10-31,Deutsche Bank,,Hold"
"34,ACHC,main,2013-04-05,Bank of America,,Buy"
"35,ACHC,main,2013-03-21,Deutsche Bank,,Hold"
"36,ACHC,init,2013-03-12,Canaccord Genuity,,Buy"
"37,ACHC,main,2013-02-22,BMO Capital,,Outperform"
"38,ACHC,main,2013-01-15,Jefferies,,Buy"
"39,ACHC,main,2012-12-10,Deutsche Bank,,Hold"
"40,ACHC,main,2012-11-08,Deutsche Bank,,Hold"
"41,ACHC,main,2012-11-08,BMO Capital,,Outperform"
"42,ACHC,main,2012-09-13,Imperial Capital,,Outperform"
"43,ACHC,main,2012-09-04,Citigroup,,Buy"
"44,ACHC,main,2012-09-04,Jefferies,,Buy"
"45,ACHC,down,2012-07-18,Deutsche Bank,,Hold"
"0,ACAD,init,2016-11-11,Goldman Sachs,,Neutral"
"1,ACAD,up,2016-11-08,Bank of America,,Buy"
"2,ACAD,init,2016-10-04,Leerink Swann,,Market Perform"
"3,ACAD,down,2016-06-22,Bank of America,,Neutral"
"4,ACAD,down,2016-05-03,Leerink Swann,,Market Perform"
"5,ACAD,main,2016-02-24,JP Morgan,,Neutral"
"6,ACAD,init,2016-02-08,Bank of America,,Buy"
"7,ACAD,up,2016-01-22,PiperJaffray,,Overweight"
"8,ACAD,main,2015-11-06,Leerink Swann,,Outperform"
